rule_name,spec_text,cp_name_1,coverage_desc_1,cp_name_2,coverage_desc_2,cp_name_3,coverage_desc_3,cp_name_4,coverage_desc_4,cp_name_5,coverage_desc_5,cp_name_6,coverage_desc_6,cp_name_7,coverage_desc_7,cp_name_8,coverage_desc_8,cp_name_9,coverage_desc_9,cp_name_10,coverage_desc_10,cp_name_11,coverage_desc_11,cp_name_12,coverage_desc_12,cp_name_13,coverage_desc_13,cp_name_14,coverage_desc_14,cp_name_15,coverage_desc_15,cp_name_16,coverage_desc_16,cp_name_17,coverage_desc_17,cp_name_18,coverage_desc_18,cp_name_19,coverage_desc_19,cp_name_20,coverage_desc_20,cp_name_21,coverage_desc_21,cp_name_22,coverage_desc_22,cp_name_23,coverage_desc_23,coverage_status,explanation,gaps,cp_name_24,coverage_desc_24,cp_name_25,coverage_desc_25,cp_name_26,coverage_desc_26,cp_name_27,coverage_desc_27,cp_name_28,coverage_desc_28,cp_name_29,coverage_desc_29,cp_name_30,coverage_desc_30,cp_name_31,coverage_desc_31,cp_name_32,coverage_desc_32,cp_name_33,coverage_desc_33,cp_name_34,coverage_desc_34,cp_name_35,coverage_desc_35,cp_name_36,coverage_desc_36
vstart_vl_scalar_indp,"Instructions that write an x register or f register do so even when vstart ≥ vl, including when vl=0.",cp_custom_f_freg_write_vl0,"Directly tests that f-register writing instructions execute even when vstart ≥ vl including vl=0, which is exactly what this rule specifies.",cp_custom_gprWriting_vstart_eq_vl,"Directly tests that instructions writing an x or f register execute even when vstart >= vl (with vl=0, vstart=0), matching the rule's specification exactly.",cp_rd,"cp_rd exercises rd for vcpop.m, vfirst.m, and vmv.x.s, all of which write an x register. This partially covers the rule that instructions writing x registers do so even when vstart >= vl or vl=0.",cp_vl_0,"cp_vl_0 applies to instructions like vmv.x.s, vcpop.m, vfirst.m that write x/f registers; these must still write even when vl=0, exercising this independence rule.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The rule states that instructions writing an x register or f register do so even when vstart >= vl, including when vl=0. cp_custom_f_freg_write_vl0 covers the f-register writing case when vstart >= vl including vl=0. cp_custom_gprWriting_vstart_eq_vl covers the x-register (and f-register) writing case when vstart >= vl with vl=0/vstart=0. Together they cover both x-register and f-register writing under the specified conditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vector_prestart_element,The prestart elements do not raise exceptions and do not update the destination vector register.,cp_custom_maskLS_prestart_no_exception,"The coverpoint sets vstart=1 so element 0 is a prestart element, and verifies that prestart elements do not raise exceptions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoint tests that prestart elements do not raise exceptions, which covers one aspect of the rule. However, the rule also states that prestart elements 'do not update the destination vector register,' and no coverpoint verifies that the destination register remains unchanged for prestart elements.",No coverpoint verifies that prestart elements do not update the destination vector register,,,,,,,,,,,,,,,,,,,,,,,,,,
vector_inactive_element,"The inactive elements do not raise exceptions and do not update any destination vector register group unless masked agnostic is specified (vtype.vma=1), in which case inactive elements may be overwritten with 1s.",cp_custom_vfp_flags_inactive_not_set,"Tests that inactive elements do not raise exceptions, specifically that a masked-off element performing vfrsqrt7(0) does not trigger an FP exception flag update",cp_custom_maskLS_tail_no_exception,Coverpoint verifies that masked-off (inactive) elements do not raise exceptions by masking the only active element and loading from address 0 which would otherwise trap,cp_custom_maskLS_prestart_no_exception,"With v0=2 masking, element 1 (the only body element given vstart=1, vl=2) is inactive, and the coverpoint verifies it does not raise exceptions",cp_custom_element0Masked,"Tests behavior of inactive (masked-off) elements in a reduction, verifying they are excluded from the operation while the scalar still participates",cp_masking_edges,"cp_masking_edges v0 patterns (all 0s, VLMAX-1 ones, VLMAX/2+1 ones) create inactive elements that must not raise exceptions and must follow vma policy for destination updates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test the 'inactive elements do not raise exceptions' aspect well (FP exceptions, load/store traps, masked-off reductions) and touch on masking patterns. However, the second half of the rule — 'do not update any destination vector register group unless masked agnostic is specified (vtype.vma=1), in which case inactive elements may be overwritten with 1s' — is not adequately covered. No coverpoint explicitly verifies that inactive elements preserve their prior values when vma=0, and no coverpoint explicitly verifies the 1s-overwrite behavior when vma=1.",No coverpoint verifies that inactive elements are unchanged in the destination register when vtype.vma=0 (undisturbed policy); No coverpoint explicitly tests that inactive elements may be overwritten with all 1s when vtype.vma=1 (agnostic policy),,,,,,,,,,,,,,,,,,,,,,,,,,
vector_tail_element,"The tail elements do not raise exceptions, and do not update any destination vector register group unless tail agnostic is specified (vtype.vta=1), in which case tail elements may be overwritten with 1s, or with the result of the instruction in the case of mask-producing instructions except for mask loads.  When LMUL &lt; 1, the tail includes the elements past VLMAX that are held in the same vector register.",cp_custom_maskLS_tail_no_exception,"Coverpoint uses LMUL=2 with vl=1 to ensure tail elements exist, verifying they do not raise exceptions when the instruction accesses an invalid address",cp_vs2_vs1_mask_corners,"This rule states tail elements 'may be overwritten with the result of the instruction in the case of mask-producing instructions', which is exactly what the coverpoint tests by checking mask tail values against computed results",cp_vl_0,"With vl=0, all elements are tail elements. cp_vl_0 uses vta=1 (tail agnostic), verifying tail element handling when no body elements exist.",cp_masking_edges,"cp_masking_edges sets vta=0 (undisturbed) with vl=VLMAX, testing that tail elements are not updated when tail-undisturbed is specified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints address several aspects: tail elements not raising exceptions (cp_custom_maskLS_tail_no_exception), mask-producing instruction tail behavior (cp_vs2_vs1_mask_corners), vl=0 all-tail with vta=1 (cp_vl_0), and tail-undisturbed preservation (cp_masking_edges). However, key aspects of the rule remain untested.",No coverpoint tests that tail elements may be overwritten with 1s when vta=1 for non-mask-producing instructions; No coverpoint tests the LMUL < 1 case where tail includes elements past VLMAX held in the same vector register; The exception for mask loads ('except for mask loads') in the mask-producing tail overwrite rule is not explicitly tested; No coverpoint verifies that destination register group elements beyond vl are preserved (not updated) when vta=0 for a general (non-mask) instruction,,,,,,,,,,,,,,,,,,,,,,,,,,
vset_op,"The vset{i}vl{i} instructions set the vtype and vl CSRs based on their arguments, and write the new value of vl into rd.",cp_ssstrictv_vsetvli_reserved_vsew,"Coverpoint uses vsetvli/vsetivli instructions to set vtype, exercising the basic operation of these instructions writing to the vtype CSR.",cp_ssstrictv_vsetvli_lmul_sew_ratio,"Uses vsetvli instruction to set vtype, exercising the vset instruction's role in writing vtype and vl CSRs",cp_ssstrictv_vsetvli_x0_x0_reserved,"Tests vsetvli instruction behavior for setting vtype and vl CSRs, specifically the reserved/trapping case",cp_ssstrictv_vlmul_100_reserved,"Uses vsetvli/vsetivli to set vtype with the reserved vlmul encoding, exercising these instructions' role in setting vtype and vl CSRs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints exercise vsetvli/vsetivli setting vtype and vl CSRs, but focus primarily on reserved/edge-case encodings (reserved vsew, reserved vlmul, lmul/sew ratio constraints, x0/x0 reserved behavior). They do not explicitly verify that the new value of vl is written into rd, which is a distinct aspect of the spec text. Additionally, vsetvl (the register-register form) is not covered by any of the listed coverpoints.","No coverpoint verifies that rd receives the new value of vl (rd writeback); No coverage of vsetvl (register-register form, only vsetvli/vsetivli are tested)",,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-vstart_op,the vl register is also set to zero.,cp_mstatus_vs_set_dirty_csr,"SmV cp_mstatus_vs_set_dirty_csr uses vsetvli to change vtype, exercising the vsetvli -> vtype update path.",cp_sew_lmul_vset_i_vli,"SmV cp_sew_lmul_vset_i_vli uses vset{i}vli to set all SEW/LMUL combinations, exercising the vtype update mechanism.",cp_sew_lmul_vsetvl,"SmV cp_sew_lmul_vsetvl uses vsetvl with rs2 encoding SEW/LMUL combinations, exercising the vtype update mechanism via vsetvl.",cp_vtype_vill_set_vl_0,"SmV cp_vtype_vill_set_vl_0 verifies that when an unsupported vtype configuration is set, vl is set to zero.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,Multiple coverpoints (4) now address this rule from SmV/SmVF privileged tests and standard edge coverpoints. Coverage is partial because these test specific aspects but may not cover all facets of the normative requirement.,Some aspects of the normative rule may still need dedicated testing.,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype_acc,"The new vtype value is encoded in the immediate fields of vsetvli and vsetivli, and in the rs2 register for vsetvl. ||| The read-only XLEN-wide vector type CSR, vtype provides the default type used to interpret the contents of the vector register file, and can only be updated by vset{i}vl{i} instructions.",cp_ssstrictv_vsetvli_reserved_vsew,"Coverpoint encodes reserved vsew values in the immediate fields of vsetvli/vsetivli, exercising the vtype encoding path through these instructions.",cp_vtype_walking1s,"The coverpoint passes vtype values through rs2 register for vsetvl, testing that all XLEN bits of rs2 are read as the new vtype encoding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test reserved vsew encoding through vsetvli/vsetivli immediate fields and walking 1s through rs2 for vsetvl, covering the encoding paths. However, there are gaps: no coverpoint tests normal (non-reserved) vtype field encodings through vsetvli/vsetivli immediates (e.g., valid vlmul, vsew, vta, vma combinations), no coverpoint verifies that vtype CSR is read-only (cannot be written by other means), and no coverpoint tests vsetivli's immediate encoding path specifically with walking 1s or edge values.","No coverage of valid/normal vtype field encodings (vlmul, vsew, vta, vma) through vsetvli/vsetivli immediate fields; No coverage verifying vtype CSR is read-only (only updatable by vset{i}vl{i}); No walking-1s or edge-value testing of vsetivli immediate encoding path",,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-vill_set,"If the vtype value is not supported by the implementation, then the vill bit is set in vtype, the remaining bits in vtype are set to zero ||| A vtype value with vill set is treated as an unsupported configuration. ||| Implementations must consider all bits of the vtype value to determine if the configuration is supported.  An unsupported value in any location within the vtype value must result in vill being set.",cp_custom_vwholeRegLS_vill,"The coverpoint requires setting vill=1 in vtype as a precondition, testing the state where vill is set",cp_ssstrictv_vfp_eew_unsupported,"Setting SEW=8 for FP operations may result in an unsupported vtype configuration causing vill to be set, which the coverpoint partially exercises.",cp_ssstrictv_vsetvli_reserved_vsew,"Coverpoint verifies that unsupported vtype values (reserved vsew encodings) cause vill to be set, directly testing that an unsupported value in the vtype field results in vill being set.",cp_ssstrictv_vsetvli_lmul_sew_ratio,"Tests that unsupported LMUL/SEW ratio configurations result in vill being set, verifying the vill-setting behavior for unsupported vtype values",cp_ssstrictv_vlmul_100_reserved,"Tests that an unsupported vtype configuration (reserved vlmul=100) results in vill being set, confirming the implementation treats unsupported encodings correctly.",cp_vtype_walking1s,"Walking 1s across all XLEN bits will hit many unsupported/reserved vtype encodings, verifying that implementations consider all bits and set vill for unsupported configurations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule has three aspects: (1) unsupported vtype values cause vill to be set, (2) remaining bits in vtype are set to zero when vill is set, and (3) all bits of vtype must be considered. Aspect 1 is covered by cp_ssstrictv_vsetvli_reserved_vsew (unsupported vsew), cp_ssstrictv_vlmul_100_reserved (unsupported vlmul), cp_ssstrictv_vsetvli_lmul_sew_ratio (unsupported ratio), and cp_ssstrictv_vfp_eew_unsupported (unsupported SEW for FP). Aspect 2 is implicitly verified when checking vill is set - the coverpoints that set vill as precondition (cp_custom_vwholeRegLS_vill) confirm the vtype state with vill=1 and zeros. Aspect 3 is directly covered by cp_vtype_walking1s which walks a 1 across all XLEN bits of vtype, ensuring the implementation considers every bit position and sets vill for unsupported configurations.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vsetvl_op,"When rs1 is not x0, the AVL is an unsigned integer held in the x register specified by rs1, and the new vl value is also written to the x register specified by rd. ||| When rs1=x0 but rd≠x0, the maximum unsigned integer value (~0) is used as the AVL, and the resulting VLMAX is written to vl and also to the x register specified by rd. ||| When rs1=x0 and rd=x0, the instructions operate as if the current vector length in vl is used as the AVL, and the resulting value is written to vl, but not to a destination register.  This form can only be used when VLMAX and hence vl is not actually changed by the new SEW/LMUL ratio.",cp_ssstrictv_vsetvli_x0_x0_reserved,"Tests the rs1=x0, rd=x0 form of vsetvli where the current vl is used as AVL and the constraint that this form can only be used when VLMAX is not changed",cp_ssstrictv_vsetvl_x0_x0_reserved,"Tests the rs1=x0 and rd=x0 form of vsetvl, which per this rule can only be used when VLMAX is not actually changed; the coverpoint verifies the trap when this constraint is violated",cp_vtype_walking1s,"The coverpoint uses vsetvl with rs1 nonzero, exercising the AVL-from-register path where the new vl is written to rd.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The three coverpoints cover: (1) rs1=x0, rd=x0 form for vsetvli with VLMAX-unchanged constraint, (2) rs1=x0, rd=x0 form for vsetvl with trap on VLMAX change, and (3) rs1 nonzero AVL-from-register path via vtype_walking1s. However, the rs1=x0, rd≠x0 form (where ~0 is used as AVL and VLMAX is written to rd) is not explicitly covered by any listed coverpoint.",rs1=x0 but rd≠x0 form where maximum unsigned integer (~0) is used as AVL and VLMAX is written to both vl and rd,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype_vset_rsv,Use of the instructions with a new SEW/LMUL ratio that would result in a change of VLMAX is reserved. Use of the instructions is also reserved if vill was 1 beforehand.,cp_ssstrictv_vsetvli_x0_x0_reserved,"Directly tests the reserved behavior: using rs1=x0/rd=x0 with a new SEW/LMUL ratio that would change VLMAX, and using it when vill was 1 beforehand",cp_ssstrictv_vsetvl_x0_x0_reserved,"Directly tests the reserved cases: vsetvl with rs1=x0/rd=x0 when VLMAX would change or vill was previously set, both explicitly described as reserved by this rule",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule specifies two reserved conditions for vsetvli/vsetvl with rs1=x0/rd=x0: (1) using a new SEW/LMUL ratio that would change VLMAX, and (2) using the instruction when vill was 1 beforehand. cp_ssstrictv_vsetvli_x0_x0_reserved covers both conditions for vsetvli, and cp_ssstrictv_vsetvl_x0_x0_reserved covers both conditions for vsetvl. Together they fully cover the rule.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vsetivli_op,"For the vsetivli instruction, the AVL is encoded as a 5-bit zero-extended immediate (0&#8212;&#8203;31) in the rs1 field.",cp_sew_lmul_vset_i_vli,"SmV cp_sew_lmul_vset_i_vli crosses eSEW={8/16/32/64} with mLMUL={f8/f4/f2/1/2/4/8} for vsetivli, testing all vtype configurations.",cp_vsetivli_avl_corners,SmV cp_vsetivli_avl_corners tests vsetivli with all 32 immediate values (0-31) crossed with all supported SEW values.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,SmV/SmVF or standard coverpoints now address this rule. Coverage is partial as not all aspects of the normative requirement may be covered.,Some aspects of the normative rule may still need dedicated testing.,,,,,,,,,,,,,,,,,,,,,,,,,,
vl_val,"The vset{i}vl{i} instructions first set VLMAX according to their vtype argument, then set vl obeying the following constraints: ||| vl = AVL if AVL ≤ VLMAX ceil(AVL / 2) ≤ vl ≤ VLMAX if AVL &lt; (2 * VLMAX) vl = VLMAX if AVL ≥ (2 * VLMAX) Deterministic on any given implementation for same input AVL and VLMAX values These specific properties follow from the prior rules:  vl = 0 if  AVL = 0 vl &gt; 0 if AVL &gt; 0 vl ≤ VLMAX vl ≤ AVL a value read from vl when used as the AVL argument to vset{i}vl{i} results in the same value in vl, provided the resultant VLMAX equals the value of VLMAX at the time that vl was read",cp_vl_0,"cp_vl_0 requires setting vl=0 via vsetvl with AVL=0, exercising the property 'vl = 0 if AVL = 0'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"Only one of many properties specified in the normative rule is covered. The rule defines three main AVL/VLMAX constraint regions, a determinism requirement, and five derived properties. Only the 'vl = 0 if AVL = 0' property is tested.",vl = AVL when AVL ≤ VLMAX; ceil(AVL/2) ≤ vl ≤ VLMAX when AVL < 2*VLMAX; vl = VLMAX when AVL ≥ 2*VLMAX; Deterministic behavior for same AVL and VLMAX inputs; vl > 0 when AVL > 0; vl ≤ VLMAX; vl ≤ AVL; Reading vl and using it as AVL with same VLMAX preserves vl value,,,,,,,,,,,,,,,,,,,,,,,,,,
VECTOR_LS_VSTART,All vector loads and stores may generate and accept a non-zero vstart value.,cp_exceptionsv_address_fault,"An address fault on a vector load/store generates a non-zero vstart value corresponding to the faulting element, partially covering the vstart acceptance requirement.",cp_custom_maskLS_prestart_no_exception,"The coverpoint tests vector loads with non-zero vstart=1, verifying they accept and operate correctly with non-zero vstart values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test vstart generation via address faults and vstart acceptance for vector loads with vstart=1. However, gaps remain: vector stores accepting non-zero vstart are not tested, and only vstart=1 is tested rather than a range of non-zero vstart values.","Vector stores accepting non-zero vstart values are not covered; Only vstart=1 is tested for acceptance; other non-zero vstart values (e.g., larger values, edge cases) are not exercised",,,,,,,,,,,,,,,,,,,,,,,,,,
vector_ls_base_stride_regtype,Vector load/store base registers and strides are taken from the GPR x registers.,cp_rs1,"cp_rs1 exercises all GPR x registers as rs1 for vector load/store instructions, partially verifying that base registers are taken from the GPR x registers.",cp_rs2,"cp_rs2 exercises all 32 GPR x registers (rs2=x0-x31) as the stride source for vector load/store instructions, partially covering the rule that strides are taken from GPR x registers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule states that vector load/store base registers and strides are taken from GPR x registers. cp_rs1 exercises all GPR x registers as the base register (rs1) for vector load/store instructions, and cp_rs2 exercises all 32 GPR x registers as the stride source (rs2). Together these two coverpoints fully cover both aspects of the rule: base registers from GPRs and strides from GPRs.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vector_ls_base,The base effective address for all vector accesses is given by the contents of the x register named in rs1.,cp_custom_maskLS_prestart_no_exception,"The coverpoint sets rs1=0 as the base effective address to create a scenario where element 0 would fault, testing base address behavior",cp_custom_ls_indexed_zero_extended_sew{8/16},The coverpoint loads a base address into rs1 and verifies that indexed operations use this as the base effective address to which the zero-extended offset is added.,cp_rs1,"cp_rs1 exercises all 32 scalar x registers (rs1=0-31) including for vector load/store instructions, covering that the base effective address is given by the contents of the x register named in rs1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule states that the base effective address for all vector accesses comes from the x register named in rs1. cp_rs1 directly covers this by exercising all 32 scalar x registers as rs1 for vector load/store instructions, ensuring any x register can provide the base address. cp_custom_ls_indexed_zero_extended_sew verifies that the base address from rs1 is actually used as the base to which offsets are added. cp_custom_maskLS_prestart_no_exception tests a specific base address value (rs1=0) affecting fault behavior, confirming the base address from rs1 is used for the effective address calculation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vector_ls_unit-stride_op,Vector unit-stride operations access elements stored contiguously in memory starting from the base effective address.,cp_masking_edges,"Edge coverpoint cp_masking_edges on [vle16.v, vle16ff.v, vle32.v, vle32ff.v, vle64.v, ... (12 total)] tests vector_ls_unit-stride_op by exercising the operation with boundary input values and checking output correctness against the Sail reference model.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The cp_masking_edges coverpoint exercises the vector_ls_unit-stride operation with various masking patterns, verifying the operation produces correct results (checked against Sail reference model) under different active/inactive element configurations.",Only masking-edge coverage; no data-edge coverpoints testing boundary input values; operation correctness tested only indirectly through masking patterns,,,,,,,,,,,,,,,,,,,,,,,,,,
vector_ls_constant-stride_op,"Vector constant-stride operations access the first memory element at the base effective address, and then access subsequent elements at address increments given by the byte offset contained in the x register specified by rs2.",cp_rs2,"cp_rs2 exercises all 32 GPR x registers as the rs2 stride operand for constant-stride load/store instructions (vlse8.v, vlse16.v, etc.), partially covering the rule that subsequent elements are accessed at byte offsets from the x register specified by rs2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The cp_rs2 coverpoint exercises all 32 GPR registers as the rs2 stride operand, which tests the 'x register specified by rs2' aspect. However, it does not verify that the first element is accessed at the base effective address, nor that subsequent elements are actually accessed at the correct byte offset increments. It only tests register selection, not the addressing behavior itself.","No coverpoint verifies that the first memory element is accessed at the base effective address; No coverpoint verifies that subsequent elements are accessed at address increments equal to the byte offset in rs2 (i.e., the actual stride arithmetic)",,,,,,,,,,,,,,,,,,,,,,,,,,
vector_ls_strided_EEW,Vector memory unit-stride and constant-stride operations directly encode EEW of the data to be transferred statically in the instruction to reduce the number of vtype changes when accessing memory in a mixed-width routine.,cp_exceptionsv_LS_stdtrapvec,"Tests EEW encoding behavior for unit-stride and constant-stride operations, verifying unsupported widths raise exceptions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoint only tests the exception/trap behavior when unsupported EEW widths are used. The normative rule describes that EEW is directly encoded in the instruction to reduce vtype changes for mixed-width memory access. Testing that unsupported widths raise exceptions covers one aspect, but the core functionality of EEW encoding for supported widths in unit-stride and constant-stride operations is not covered.","No coverage of correct EEW encoding for supported widths (8, 16, 32, 64-bit) in unit-stride operations; No coverage of correct EEW encoding for supported widths in constant-stride operations; No coverage verifying that EEW encoding reduces vtype changes in mixed-width routines",,,,,,,,,,,,,,,,,,,,,,,,,,
vector_ls_seg_unit-stride_vd_vs3,"For loads, the vd register will hold the first field loaded from the segment.  For stores, the vs3 register is read to provide the first field to be stored to each segment.",cp_vs3,"cp_vs3 directly tests the vs3 source register for segment store instructions (vsseg*), covering the rule that vs3 provides the first field to be stored to each segment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"cp_vs3 covers the store side of the rule (vs3 provides the first field for segment stores), but the rule also specifies that for loads, the vd register holds the first field loaded from the segment. There is no coverpoint testing the vd destination register behavior for segment load instructions (vlseg*).",No coverpoint testing that vd holds the first field loaded from segment load instructions (vlseg*),,,,,,,,,,,,,,,,,,,,,,,,,,
vector_ls_scalar_missaligned_independence,Support for misaligned vector memory accesses is independent of an implementation&#8217;s support for misaligned scalar memory accesses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,Architectural definition: Independence statement about misaligned support; not directly testable,Not directly testable - defines a concept or dependency rather than observable behavior,,,,,,,,,,,,,,,,,,,,,,,,,,
vector_ls_scalar_missaligned_dependence,Vector misaligned memory accesses follow the same rules for atomicity as scalar misaligned memory accesses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,Needs new coverpoint: Need coverpoint to test vector misaligned access atomicity,Need coverpoint to test vector misaligned access atomicity,,,,,,,,,,,,,,,,,,,,,,,,,,
vector_ls_seg_indexed_unordered,"However, even for the ordered form, accesses to the fields within an individual segment are not ordered with respect to each other.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,Covered by implication: Tested implicitly by indexed segment load/store tests; ordering is observable only under specific memory conditions,No dedicated coverpoint; coverage is implicit through related coverpoints and infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,
vector_ff_op,"If element 0 raises an exception, vl is not modified, and the trap is taken.  If an element &gt; 0 raises an exception, the corresponding trap is not taken, and the vector length vl is reduced to the index of the element that would have raised an exception.",cp_exceptionsv_ffLS_first_elm_trap,"Tests that when element 0 raises an exception, the trap is taken, directly covering the first clause of this rule.",cp_custom_ffLS_update_vl,"Coverpoint directly tests that when element > 0 raises an exception, the trap is not taken and vl is reduced to the index of that element",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The two coverpoints cover the two main clauses: (1) element 0 exception causes trap to be taken, and (2) element > 0 exception causes no trap and vl is reduced. However, the rule also states that when element 0 raises an exception, 'vl is not modified', and neither coverpoint explicitly tests that vl remains unchanged in the element 0 case.",No coverpoint verifies that vl is not modified when element 0 raises an exception,,,,,,,,,,,,,,,,,,,,,,,,,,
vector_ls_indexed_op,"Vector indexed operations add the contents of each element of the vector offset operand specified by vs2 to the base effective address to give the effective address of each element.  The data vector register group has EEW=SEW, EMUL=LMUL, while the offset vector register group has EEW encoded in the instruction and EMUL=(EEW/SEW)*LMUL.",cp_custom_ls_indexed_zero_extended_sew{8/16},"The coverpoint exercises indexed load operations by adding vector offset elements (vs2) to the base effective address (rs1), verifying the correct effective address computation with zero-extended offsets.",cp_custom_ls_indexed_truncated,"The coverpoint exercises vector indexed operations by adding vs2 element contents to the base effective address, verifying the address computation works correctly after truncation.",cp_ssstrictv_ls_idx_emul_gt8,"Coverpoint exercises indexed load/store operations where the offset vector register group EMUL=(EEW/SEW)*LMUL exceeds the allowed range, testing the EMUL calculation for indexed operations.",cp_ssstrictv_ls_idx_emul_lt_f8,Exercises indexed load/store operations where the offset vector register group EMUL=(EEW/SEW)*LMUL falls below 1/8,cp_vs2_edges,"cp_vs2_edges with ls variant tests edge offset values in vs2 elements that are added to the base address for indexed load/store operations, directly exercising the indexed addressing mechanism.",cmp_vs3_vs2,"Testing vs3==vs2 for vsuxei* instructions exercises the indexed store operation where the same register supplies both the store data and the byte-address offsets, verifying correct operand handling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test indexed addressing with zero-extended offsets, truncated offsets, edge values in vs2, EMUL boundary conditions, and operand overlap. However, there are gaps in covering the full spec text.","No coverpoint verifies that data vector register group uses EEW=SEW and EMUL=LMUL (i.e., that the loaded/stored data elements use the standard SEW width and LMUL grouping); No coverpoint exercises indexed store operations (vsoxei/vsuxei) verifying correct effective address computation from vs2+rs1 for stores specifically (cp_custom_ls_indexed_zero_extended and truncated only mention loads); No coverpoint tests varying EEW encodings in the instruction across the valid range (8/16/32/64) to verify the offset EEW is correctly decoded from the instruction encoding rather than derived from SEW",,,,,,,,,,,,,,,,,,,,,,,,,,
vector_ls_indexed_EEW,"Indexed operations use the explicit EEW encoding in the instruction to set the size of the indices used, and use SEW/LMUL to specify the data width.",cp_exceptionsv_LS_stdtrapvec,Indexed operations use explicit EEW encoding for index size - coverpoint tests these for unsupported EEW raising exceptions,cp_vs2_edges,"cp_vs2_edges is exercised across vluxei8/16/32/64 and similar instructions, testing vs2 index edge values at each explicit EEW encoding (8, 16, 32, 64 bit indices).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test exception behavior for unsupported EEW encodings and vs2 index edge values across different EEW sizes, but they don't directly verify that SEW/LMUL is used to specify the data width. The rule has two parts: (1) indices use explicit EEW encoding, and (2) data uses SEW/LMUL. The first part is partially covered through exception testing and index edge values at various EEW sizes. The second part (verifying data width follows SEW/LMUL) is not covered by any listed coverpoint.",No coverpoint verifies that the data element width follows SEW/LMUL (as opposed to the index EEW) in indexed load/store operations,,,,,,,,,,,,,,,,,,,,,,,,,,
vector_ls_ins_req,Implementations must provide vector loads and stores with EEWs corresponding to all supported SEW settings.,cp_exceptionsv_LS_stdtrapvec,Tests the boundary between supported and unsupported EEW by verifying legal EEW executes correctly while unsupported EEW raises exceptions,cp_ssstrictv_ls_eew_lt_sewmin,"Coverpoint implicitly tests the boundary of this rule - implementations must support EEW corresponding to supported SEW settings, so EEW below SEWMIN is unsupported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test boundary conditions (unsupported EEW raising exceptions and EEW below SEWMIN), but they don't directly verify the positive requirement: that vector loads and stores actually work correctly for ALL supported EEW values corresponding to all supported SEW settings. The focus is on what happens at the boundary of support, not on confirming full functionality across all required EEW/SEW combinations.",No coverpoint verifies that vector loads/stores execute correctly for every supported EEW that corresponds to each supported SEW setting (positive functional coverage across all valid EEW values),,,,,,,,,,,,,,,,,,,,,,,,,,
